CustomerID,FirstName,LastName,Gender,DateofBirth,Email,PhoneNumber,Address,City,State,ZipCode,Country,LoyaltyInfoID
937168,Morgan,Quinn,Not Specified,6/15/1958,nicolas18@example.net,(271)257-5576,"490 Anderson Point Apt. 943, South Saraland, VT 35240",North Kathleentown,Illinois,24751,Morocco,4
805548,David,Perez,F,3/11/1971,smithmichael@example.net,716.527.1063,"1871 Jason Haven, Rileymouth, VT 84747",West Robertbury,Minnesota,72018,India,3
634520,Johnathan,Hansen,Not Specified,1/3/1965,jeffreyhoward@example.org,363.314.8941,"946 Cohen Radial, South Rogerberg, MN 80969",Lake Carmen,Indiana,15314,Indonesia,4
812718,Daniel,Holmes,Others,7/7/1966,jodyperry@example.org,3266092582,"68842 Peters Vista Suite 839, North Cathy, VI 58518",Jillborough,South Carolina,77217,Mongolia,5
899357,Andrew,Smith,Others,8/4/1947,eparker@example.org,(266)642-3550,"824 Lori Trafficway Suite 661, New Deborah, MA 38831",North Randall,New York,32266,Solomon Islands,2
794258,John,Cabrera,M,1/10/1974,jeffreyhenderson@example.com,(716)532-1621x574,"PSC 3831, Box 3203, APO AA 85182",Lake Tinastad,Arkansas,33999,Uganda,5
855848,Kristen,Reyes,Others,9/22/1951,hoodrichard@example.org,(826)802-2112,"5739 Hughes Ranch Suite 841, East Elizabeth, KY 64525",Port Carrie,New Mexico,97070,Croatia,1
128935,Joseph,Lee,M,5/1/2005,pattersonalicia@example.net,+1-379-976-5650x1556,"703 Reese Ways, New Joshua, CA 18285",Gomezhaven,Montana,22881,Wallis and Futuna,1
642423,Sandra,Harrison,Not Specified,1/18/1967,rhonda65@example.net,515.440.9899x86200,"753 Spencer Roads, Millermouth, TX 49626",North Andreaport,Pennsylvania,10903,Nigeria,2
710867,Laura,Martinez,Not Specified,10/24/1956,pcollins@example.com,281.461.4972x95037,"3279 Mccarthy Fields, Michaelberg, RI 03937",Leeton,Arkansas,7679,Falkland Islands (Malvinas),2
71977,Daniel,Welch,Others,6/29/2000,lwhite@example.net,318.878.8640,"47941 Manuel Port Suite 848, South James, CO 26410",Mcguireborough,Washington,40185,Germany,2
258594,Lisa,Austin,Others,6/15/1981,mortonmark@example.com,479-828-9210x23386,"43495 Tyler Landing Apt. 221, North Michael, MI 85255",Schmidtberg,Colorado,83627,Marshall Islands,4
484837,Hayley,Freeman,M,5/18/1973,belldavid@example.net,-4104,"872 Hickman Pine, Lake Alejandraview, PW 87089",Jacksonborough,North Carolina,56712,Hungary,4
672185,Jasmine,Ford,F,1/1/1957,merritttroy@example.net,+1-299-742-2479x6338,"504 Burton Center, Ashleystad, TN 59708",Port Danielle,Indiana,7611,Angola,5
